# RCBIRE
parameter,independent_variables,3
parameter,coordinate_system,body
BIRE[deg],alpha[deg],rbar,Cx,Cy,Cz,Cl,Cm,Cn
-40.0,5.0,-0.004759988869,-6.0007965e-05,-0.001170716016,0.001493360456,-0.000332301594,0.001985289027,0.000829539285
-40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,5.0,0.004759988869,6.5042972e-05,0.001177615365,-0.001508391714,0.000337385833,-0.002000634147,-0.000833098482
-40.0,5.0,0.009519977738,0.000135292931,0.00236521988,-0.003036111927,0.000680392195,-0.004021975401,-0.001671272119
-40.0,10.0,-0.009519977738,-0.000237195861,-0.002622973194,0.003237363967,-0.001202555629,0.00430081122,0.001796992094
-40.0,10.0,-0.004759988869,-0.000122883695,-0.001323149229,0.001641140206,-0.000607057714,0.002177747986,0.000904564502
-40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,10.0,0.004759988869,0.000133041656,0.001357670569,-0.001704494347,0.000622248858,-0.002257183538,-0.000922408103
-40.0,10.0,0.009519977738,0.000279266432,0.002770641564,-0.003506709519,0.001266523127,-0.004639964595,-0.00187325287
-40.0,15.0,-0.009519977738,-0.000383003909,-0.002741352103,0.003240128238,-0.001639458529,0.004257125893,0.001848232358
-40.0,15.0,-0.004759988869,-0.000189871653,-0.001345763661,0.001581762281,-0.00081024381,0.002068450239,0.000911120765
-40.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,15.0,0.004759988869,0.000184387081,0.001299199126,-0.001506528781,0.000791816651,-0.001949871253,-0.000887265057
-40.0,15.0,0.009519977738,0.000371106698,0.002595948874,-0.003010936608,0.001584508415,-0.003887774378,-0.001774008748
-40.0,20.0,-0.009519977738,-0.000536185526,-0.003030833893,0.003481382978,-0.002104723901,0.004550009476,0.0020131722
-40.0,20.0,-0.004759988869,-0.000272220011,-0.001517216837,0.001748002907,-0.001054435916,0.002280167088,0.001007668567
-40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40.0,20.0,0.004759988869,0.000280514388,0.001520995298,-0.001762836463,0.001058563369,-0.002290761967,-0.001009923355
-40.0,20.0,0.009519977738,0.000569362522,0.003045948742,-0.003540717777,0.002121232968,-0.004592387715,-0.002022192058
-35.0,-20.0,-0.009519977738,0.000559646767,-0.002412717414,0.002827068646,0.001895355384,0.003665903666,0.001715755149
-35.0,-20.0,-0.004759988869,0.000276971997,-0.001205844492,0.001410928459,0.000947287053,0.001833106494,0.000857787741
-35.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-35.0,-20.0,0.004759988869,-0.000270668387,0.001197863453,-0.001400413261,-0.00094415327,-0.001825144139,-0.000853690032
-35.0,-20.0,0.009519977738,-0.000534368937,0.002383510922,-0.002786806479,-0.0018836816,-0.003636796424,-0.001700934595
-35.0,-15.0,-0.009519977738,0.000399718688,-0.002161987796,0.002686542505,0.001429858827,0.003511309756,0.001572303999
-35.0,-15.0,-0.004759988869,0.000196803374,-0.00107653694,0.001338592705,0.000712774836,0.001750908042,0.000783849571
-35.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-35.0,-15.0,0.004759988869,-0.000201765457,0.001114520914,-0.001387618192,-0.000687787916,-0.00182231379,-0.000809049982
-35.0,-15.0,0.009519977738,-0.000385994539,0.00217181625,-0.0027067997,-0.001391710418,-0.003553430386,-0.001582794403
-35.0,-10.0,-0.009519977738,0.000287681019,-0.002239049162,0.002794817738,0.000997162973,0.003706113986,0.001614790025
-35.0,-10.0,-0.004759988869,0.000140850935,-0.001113830541,0.00139242414,0.000495973586,0.001846962243,0.000804524277
-35.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-35.0,-10.0,0.004759988869,-0.000134968383,0.001102846199,-0.001382935561,-0.000490825651,-0.001835453976,-0.000798977238
-35.0,-10.0,0.009519977738,-0.000264151849,0.00219515986,-0.002756899163,-0.000976582381,-0.003660128656,-0.001592627526
-35.0,-5.0,-0.009519977738,0.00016797482,-0.002219406973,0.002784685638,0.000490219548,0.003705464103,0.001606810098
-35.0,-5.0,-0.004759988869,8.150358e-05,-0.001105242556,0.001388994149,0.000242925757,0.001848190603,0.000801221023
-35.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-35.0,-5.0,0.004759988869,-7.6597798e-05,0.001096713101,-0.001382735598,-0.000238622751,-0.001839678229,-0.000797043422
-35.0,-5.0,0.009519977738,-0.000148348136,0.002185266933,-0.002759593722,-0.000473004232,-0.003671397009,-0.001590089068
-35.0,0.0,-0.009519977738,2.6962556e-05,-0.002147721247,0.002734688188,-8.0329564e-05,0.00364028823,0.001572320168
-35.0,0.0,-0.004759988869,1.1362773e-05,-0.001071981036,0.00136705615,-4.1991234e-05,0.001818866793,0.000785287756
-35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-35.0,0.0,0.004759988869,-7.15991e-06,0.001068331275,-0.001366887605,4.561938e-05,-0.001816442606,-0.000783595311
-35.0,0.0,0.009519977738,-1.0123576e-05,0.002133100465,-0.002733496541,9.4843975e-05,-0.003630690345,-0.001565539265
-35.0,5.0,-0.009519977738,-0.000115114056,-0.002337170491,0.002975295245,-0.000659971762,0.003959785251,0.001656815492
-35.0,5.0,-0.004759988869,-6.0007965e-05,-0.001170716016,0.001493360456,-0.000332301594,0.001985289027,0.000829539285
-35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-35.0,5.0,0.004759988869,6.5042972e-05,0.001177615365,-0.001508391714,0.000337385833,-0.002000634147,-0.000833098482
-35.0,5.0,0.009519977738,0.000135292931,0.00236521988,-0.003036111927,0.000680392195,-0.004021975401,-0.001671272119
-35.0,10.0,-0.009519977738,-0.000237195861,-0.002622973194,0.003237363967,-0.001202555629,0.00430081122,0.001796992094
-35.0,10.0,-0.004759988869,-0.000122883695,-0.001323149229,0.001641140206,-0.000607057714,0.002177747986,0.000904564502
-35.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-35.0,10.0,0.004759988869,0.000133041656,0.001357670569,-0.001704494347,0.000622248858,-0.002257183538,-0.000922408103
-35.0,10.0,0.009519977738,0.000279266432,0.002770641564,-0.003506709519,0.001266523127,-0.004639964595,-0.00187325287
-35.0,15.0,-0.009519977738,-0.000383003909,-0.002741352103,0.003240128238,-0.001639458529,0.004257125893,0.001848232358
-35.0,15.0,-0.004759988869,-0.000189871653,-0.001345763661,0.001581762281,-0.00081024381,0.002068450239,0.000911120765
-35.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-35.0,15.0,0.004759988869,0.000184387081,0.001299199126,-0.001506528781,0.000791816651,-0.001949871253,-0.000887265057
-35.0,15.0,0.009519977738,0.000371106698,0.002595948874,-0.003010936608,0.001584508415,-0.003887774378,-0.001774008748
-35.0,20.0,-0.009519977738,-0.000536185526,-0.003030833893,0.003481382978,-0.002104723901,0.004550009476,0.0020131722
-35.0,20.0,-0.004759988869,-0.000272220011,-0.001517216837,0.001748002907,-0.001054435916,0.002280167088,0.001007668567
-35.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-35.0,20.0,0.004759988869,0.000280514388,0.001520995298,-0.001762836463,0.001058563369,-0.002290761967,-0.001009923355
-35.0,20.0,0.009519977738,0.000569362522,0.003045948742,-0.003540717777,0.002121232968,-0.004592387715,-0.002022192058
-30.0,-20.0,-0.009519977738,0.000559646767,-0.002412717414,0.002827068646,0.001895355384,0.003665903666,0.001715755149
-30.0,-20.0,-0.004759988869,0.000276971997,-0.001205844492,0.001410928459,0.000947287053,0.001833106494,0.000857787741
-30.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-30.0,-20.0,0.004759988869,-0.000270668387,0.001197863453,-0.001400413261,-0.00094415327,-0.001825144139,-0.000853690032
-30.0,-20.0,0.009519977738,-0.000534368937,0.002383510922,-0.002786806479,-0.0018836816,-0.003636796424,-0.001700934595
-30.0,-15.0,-0.009519977738,0.000399718688,-0.002161987796,0.002686542505,0.001429858827,0.003511309756,0.001572303999
-30.0,-15.0,-0.004759988869,0.000196803374,-0.00107653694,0.001338592705,0.000712774836,0.001750908042,0.000783849571
-30.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-30.0,-15.0,0.004759988869,-0.000201765457,0.001114520914,-0.001387618192,-0.000687787916,-0.00182231379,-0.000809049982
-30.0,-15.0,0.009519977738,-0.000385994539,0.00217181625,-0.0027067997,-0.001391710418,-0.003553430386,-0.001582794403
-30.0,-10.0,-0.009519977738,0.000287681019,-0.002239049162,0.002794817738,0.000997162973,0.003706113986,0.001614790025
-30.0,-10.0,-0.004759988869,0.000140850935,-0.001113830541,0.00139242414,0.000495973586,0.001846962243,0.000804524277
-30.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-30.0,-10.0,0.004759988869,-0.000134968383,0.001102846199,-0.001382935561,-0.000490825651,-0.001835453976,-0.000798977238
-30.0,-10.0,0.009519977738,-0.000264151849,0.00219515986,-0.002756899163,-0.000976582381,-0.003660128656,-0.001592627526
-30.0,-5.0,-0.009519977738,0.00016797482,-0.002219406973,0.002784685638,0.000490219548,0.003705464103,0.001606810098
-30.0,-5.0,-0.004759988869,8.150358e-05,-0.001105242556,0.001388994149,0.000242925757,0.001848190603,0.000801221023
-30.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-30.0,-5.0,0.004759988869,-7.6597798e-05,0.001096713101,-0.001382735598,-0.000238622751,-0.001839678229,-0.000797043422
-30.0,-5.0,0.009519977738,-0.000148348136,0.002185266933,-0.002759593722,-0.000473004232,-0.003671397009,-0.001590089068
-30.0,0.0,-0.009519977738,2.6962556e-05,-0.002147721247,0.002734688188,-8.0329564e-05,0.00364028823,0.001572320168
-30.0,0.0,-0.004759988869,1.1362773e-05,-0.001071981036,0.00136705615,-4.1991234e-05,0.001818866793,0.000785287756
-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-30.0,0.0,0.004759988869,-7.15991e-06,0.001068331275,-0.001366887605,4.561938e-05,-0.001816442606,-0.000783595311
-30.0,0.0,0.009519977738,-1.0123576e-05,0.002133100465,-0.002733496541,9.4843975e-05,-0.003630690345,-0.001565539265
-30.0,5.0,-0.009519977738,-0.000115114056,-0.002337170491,0.002975295245,-0.000659971762,0.003959785251,0.001656815492
-30.0,5.0,-0.004759988869,-6.0007965e-05,-0.001170716016,0.001493360456,-0.000332301594,0.001985289027,0.000829539285
-30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-30.0,5.0,0.004759988869,6.5042972e-05,0.001177615365,-0.001508391714,0.000337385833,-0.002000634147,-0.000833098482
-30.0,5.0,0.009519977738,0.000135292931,0.00236521988,-0.003036111927,0.000680392195,-0.004021975401,-0.001671272119
-30.0,10.0,-0.009519977738,-0.000237195861,-0.002622973194,0.003237363967,-0.001202555629,0.00430081122,0.001796992094
-30.0,10.0,-0.004759988869,-0.000122883695,-0.001323149229,0.001641140206,-0.000607057714,0.002177747986,0.000904564502
-30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-30.0,10.0,0.004759988869,0.000133041656,0.001357670569,-0.001704494347,0.000622248858,-0.002257183538,-0.000922408103
-30.0,10.0,0.009519977738,0.000279266432,0.002770641564,-0.003506709519,0.001266523127,-0.004639964595,-0.00187325287
-30.0,15.0,-0.009519977738,-0.000383003909,-0.002741352103,0.003240128238,-0.001639458529,0.004257125893,0.001848232358
-30.0,15.0,-0.004759988869,-0.000189871653,-0.001345763661,0.001581762281,-0.00081024381,0.002068450239,0.000911120765
-30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-30.0,15.0,0.004759988869,0.000184387081,0.001299199126,-0.001506528781,0.000791816651,-0.001949871253,-0.000887265057
-30.0,15.0,0.009519977738,0.000371106698,0.002595948874,-0.003010936608,0.001584508415,-0.003887774378,-0.001774008748
-30.0,20.0,-0.009519977738,-0.000536185526,-0.003030833893,0.003481382978,-0.002104723901,0.004550009476,0.0020131722
-30.0,20.0,-0.004759988869,-0.000272220011,-0.001517216837,0.001748002907,-0.001054435916,0.002280167088,0.001007668567
-30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-30.0,20.0,0.004759988869,0.000280514388,0.001520995298,-0.001762836463,0.001058563369,-0.002290761967,-0.001009923355
-30.0,20.0,0.009519977738,0.000569362522,0.003045948742,-0.003540717777,0.002121232968,-0.004592387715,-0.002022192058
-25.0,-20.0,-0.009519977738,0.000559646767,-0.002412717414,0.002827068646,0.001895355384,0.003665903666,0.001715755149
-25.0,-20.0,-0.004759988869,0.000276971997,-0.001205844492,0.001410928459,0.000947287053,0.001833106494,0.000857787741
-25.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-25.0,-20.0,0.004759988869,-0.000270668387,0.001197863453,-0.001400413261,-0.00094415327,-0.001825144139,-0.000853690032
-25.0,-20.0,0.009519977738,-0.000534368937,0.002383510922,-0.002786806479,-0.0018836816,-0.003636796424,-0.001700934595
-25.0,-15.0,-0.009519977738,0.000399718688,-0.002161987796,0.002686542505,0.001429858827,0.003511309756,0.001572303999
-25.0,-15.0,-0.004759988869,0.000196803374,-0.00107653694,0.001338592705,0.000712774836,0.001750908042,0.000783849571
-25.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-25.0,-15.0,0.004759988869,-0.000201765457,0.001114520914,-0.001387618192,-0.000687787916,-0.00182231379,-0.000809049982
-25.0,-15.0,0.009519977738,-0.000385994539,0.00217181625,-0.0027067997,-0.001391710418,-0.003553430386,-0.001582794403
-25.0,-10.0,-0.009519977738,0.000287681019,-0.002239049162,0.002794817738,0.000997162973,0.003706113986,0.001614790025
-25.0,-10.0,-0.004759988869,0.000140850935,-0.001113830541,0.00139242414,0.000495973586,0.001846962243,0.000804524277
-25.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-25.0,-10.0,0.004759988869,-0.000134968383,0.001102846199,-0.001382935561,-0.000490825651,-0.001835453976,-0.000798977238
-25.0,-10.0,0.009519977738,-0.000264151849,0.00219515986,-0.002756899163,-0.000976582381,-0.003660128656,-0.001592627526
-25.0,-5.0,-0.009519977738,0.00016797482,-0.002219406973,0.002784685638,0.000490219548,0.003705464103,0.001606810098
-25.0,-5.0,-0.004759988869,8.150358e-05,-0.001105242556,0.001388994149,0.000242925757,0.001848190603,0.000801221023
-25.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-25.0,-5.0,0.004759988869,-7.6597798e-05,0.001096713101,-0.001382735598,-0.000238622751,-0.001839678229,-0.000797043422
-25.0,-5.0,0.009519977738,-0.000148348136,0.002185266933,-0.002759593722,-0.000473004232,-0.003671397009,-0.001590089068
-25.0,0.0,-0.009519977738,2.6962556e-05,-0.002147721247,0.002734688188,-8.0329564e-05,0.00364028823,0.001572320168
-25.0,0.0,-0.004759988869,1.1362773e-05,-0.001071981036,0.00136705615,-4.1991234e-05,0.001818866793,0.000785287756
-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-25.0,0.0,0.004759988869,-7.15991e-06,0.001068331275,-0.001366887605,4.561938e-05,-0.001816442606,-0.000783595311
-25.0,0.0,0.009519977738,-1.0123576e-05,0.002133100465,-0.002733496541,9.4843975e-05,-0.003630690345,-0.001565539265
-25.0,5.0,-0.009519977738,-0.000115114056,-0.002337170491,0.002975295245,-0.000659971762,0.003959785251,0.001656815492
-25.0,5.0,-0.004759988869,-6.0007965e-05,-0.001170716016,0.001493360456,-0.000332301594,0.001985289027,0.000829539285
-25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-25.0,5.0,0.004759988869,6.5042972e-05,0.001177615365,-0.001508391714,0.000337385833,-0.002000634147,-0.000833098482
-25.0,5.0,0.009519977738,0.000135292931,0.00236521988,-0.003036111927,0.000680392195,-0.004021975401,-0.001671272119
-25.0,10.0,-0.009519977738,-0.000237195861,-0.002622973194,0.003237363967,-0.001202555629,0.00430081122,0.001796992094
-25.0,10.0,-0.004759988869,-0.000122883695,-0.001323149229,0.001641140206,-0.000607057714,0.002177747986,0.000904564502
-25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-25.0,10.0,0.004759988869,0.000133041656,0.001357670569,-0.001704494347,0.000622248858,-0.002257183538,-0.000922408103
-25.0,10.0,0.009519977738,0.000279266432,0.002770641564,-0.003506709519,0.001266523127,-0.004639964595,-0.00187325287
-25.0,15.0,-0.009519977738,-0.000383003909,-0.002741352103,0.003240128238,-0.001639458529,0.004257125893,0.001848232358
-25.0,15.0,-0.004759988869,-0.000189871653,-0.001345763661,0.001581762281,-0.00081024381,0.002068450239,0.000911120765
-25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-25.0,15.0,0.004759988869,0.000184387081,0.001299199126,-0.001506528781,0.000791816651,-0.001949871253,-0.000887265057
-25.0,15.0,0.009519977738,0.000371106698,0.002595948874,-0.003010936608,0.001584508415,-0.003887774378,-0.001774008748
-25.0,20.0,-0.009519977738,-0.000536185526,-0.003030833893,0.003481382978,-0.002104723901,0.004550009476,0.0020131722
-25.0,20.0,-0.004759988869,-0.000272220011,-0.001517216837,0.001748002907,-0.001054435916,0.002280167088,0.001007668567
-25.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-25.0,20.0,0.004759988869,0.000280514388,0.001520995298,-0.001762836463,0.001058563369,-0.002290761967,-0.001009923355
-25.0,20.0,0.009519977738,0.000569362522,0.003045948742,-0.003540717777,0.002121232968,-0.004592387715,-0.002022192058
-20.0,-20.0,-0.009519977738,0.000559646767,-0.002412717414,0.002827068646,0.001895355384,0.003665903666,0.001715755149
-20.0,-20.0,-0.004759988869,0.000276971997,-0.001205844492,0.001410928459,0.000947287053,0.001833106494,0.000857787741
-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-20.0,0.004759988869,-0.000270668387,0.001197863453,-0.001400413261,-0.00094415327,-0.001825144139,-0.000853690032
-20.0,-20.0,0.009519977738,-0.000534368937,0.002383510922,-0.002786806479,-0.0018836816,-0.003636796424,-0.001700934595
-20.0,-15.0,-0.009519977738,0.000399718688,-0.002161987796,0.002686542505,0.001429858827,0.003511309756,0.001572303999
-20.0,-15.0,-0.004759988869,0.000196803374,-0.00107653694,0.001338592705,0.000712774836,0.001750908042,0.000783849571
-20.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-15.0,0.004759988869,-0.000201765457,0.001114520914,-0.001387618192,-0.000687787916,-0.00182231379,-0.000809049982
-20.0,-15.0,0.009519977738,-0.000385994539,0.00217181625,-0.0027067997,-0.001391710418,-0.003553430386,-0.001582794403
-20.0,-10.0,-0.009519977738,0.000287681019,-0.002239049162,0.002794817738,0.000997162973,0.003706113986,0.001614790025
-20.0,-10.0,-0.004759988869,0.000140850935,-0.001113830541,0.00139242414,0.000495973586,0.001846962243,0.000804524277
-20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-10.0,0.004759988869,-0.000134968383,0.001102846199,-0.001382935561,-0.000490825651,-0.001835453976,-0.000798977238
-20.0,-10.0,0.009519977738,-0.000264151849,0.00219515986,-0.002756899163,-0.000976582381,-0.003660128656,-0.001592627526
-20.0,-5.0,-0.009519977738,0.00016797482,-0.002219406973,0.002784685638,0.000490219548,0.003705464103,0.001606810098
-20.0,-5.0,-0.004759988869,8.150358e-05,-0.001105242556,0.001388994149,0.000242925757,0.001848190603,0.000801221023
-20.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-5.0,0.004759988869,-7.6597798e-05,0.001096713101,-0.001382735598,-0.000238622751,-0.001839678229,-0.000797043422
-20.0,-5.0,0.009519977738,-0.000148348136,0.002185266933,-0.002759593722,-0.000473004232,-0.003671397009,-0.001590089068
-20.0,0.0,-0.009519977738,2.6962556e-05,-0.002147721247,0.002734688188,-8.0329564e-05,0.00364028823,0.001572320168
-20.0,0.0,-0.004759988869,1.1362773e-05,-0.001071981036,0.00136705615,-4.1991234e-05,0.001818866793,0.000785287756
-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,0.0,0.004759988869,-7.15991e-06,0.001068331275,-0.001366887605,4.561938e-05,-0.001816442606,-0.000783595311
-20.0,0.0,0.009519977738,-1.0123576e-05,0.002133100465,-0.002733496541,9.4843975e-05,-0.003630690345,-0.001565539265
-20.0,5.0,-0.009519977738,-0.000115114056,-0.002337170491,0.002975295245,-0.000659971762,0.003959785251,0.001656815492
-20.0,5.0,-0.004759988869,-6.0007965e-05,-0.001170716016,0.001493360456,-0.000332301594,0.001985289027,0.000829539285
-20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,5.0,0.004759988869,6.5042972e-05,0.001177615365,-0.001508391714,0.000337385833,-0.002000634147,-0.000833098482
-20.0,5.0,0.009519977738,0.000135292931,0.00236521988,-0.003036111927,0.000680392195,-0.004021975401,-0.001671272119
-20.0,10.0,-0.009519977738,-0.000237195861,-0.002622973194,0.003237363967,-0.001202555629,0.00430081122,0.001796992094
-20.0,10.0,-0.004759988869,-0.000122883695,-0.001323149229,0.001641140206,-0.000607057714,0.002177747986,0.000904564502
-20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,10.0,0.004759988869,0.000133041656,0.001357670569,-0.001704494347,0.000622248858,-0.002257183538,-0.000922408103
-20.0,10.0,0.009519977738,0.000279266432,0.002770641564,-0.003506709519,0.001266523127,-0.004639964595,-0.00187325287
-20.0,15.0,-0.009519977738,-0.000383003909,-0.002741352103,0.003240128238,-0.001639458529,0.004257125893,0.001848232358
-20.0,15.0,-0.004759988869,-0.000189871653,-0.001345763661,0.001581762281,-0.00081024381,0.002068450239,0.000911120765
-20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,15.0,0.004759988869,0.000184387081,0.001299199126,-0.001506528781,0.000791816651,-0.001949871253,-0.000887265057
-20.0,15.0,0.009519977738,0.000371106698,0.002595948874,-0.003010936608,0.001584508415,-0.003887774378,-0.001774008748
-20.0,20.0,-0.009519977738,-0.000536185526,-0.003030833893,0.003481382978,-0.002104723901,0.004550009476,0.0020131722
-20.0,20.0,-0.004759988869,-0.000272220011,-0.001517216837,0.001748002907,-0.001054435916,0.002280167088,0.001007668567
